week,player_id,player_name,player_SlotId,actual_points,player_position,player_team,projected_points,team_id,manager,team_name,Fantasy_Position,actual_position
4.0,4262921.0,Justin Jefferson,4.0,26.0,3.0,16.0,14.8,1.0,QUON,Quon's  League ,WR,WR
4.0,3128429.0,Courtland Sutton,4.0,13.7,3.0,7.0,12.9,1.0,QUON,Quon's  League ,WR,WR
5.0,4262921.0,Justin Jefferson,4.0,24.32,3.0,16.0,15.3,1.0,QUON,Quon's  League ,WR,WR
5.0,3128429.0,Courtland Sutton,4.0,9.9,3.0,7.0,13.4,1.0,QUON,Quon's  League ,WR,WR
7.0,16737.0,Mike Evans,4.0,14.1,3.0,27.0,11.0,1.0,QUON,Quon's  League ,WR,WR
7.0,4360438.0,Brandon Aiyuk,4.0,11.7,3.0,25.0,9.1,1.0,QUON,Quon's  League ,WR,WR
6.0,4262921.0,Justin Jefferson,4.0,13.7,3.0,16.0,15.8,1.0,QUON,Quon's  League ,WR,WR
6.0,16737.0,Mike Evans,4.0,6.2,3.0,27.0,12.9,1.0,QUON,Quon's  League ,WR,WR
2.0,4262921.0,Justin Jefferson,4.0,7.8,3.0,16.0,16.3,1.0,QUON,Quon's  League ,WR,WR
2.0,4242433.0,Joshua Palmer,4.0,11.0,3.0,24.0,9.8,1.0,QUON,Quon's  League ,WR,WR
3.0,4262921.0,Justin Jefferson,4.0,2.9,3.0,16.0,16.9,1.0,QUON,Quon's  League ,WR,WR
3.0,3128429.0,Courtland Sutton,4.0,13.7,3.0,7.0,11.3,1.0,QUON,Quon's  League ,WR,WR
1.0,4262921.0,Justin Jefferson,4.0,34.9,3.0,16.0,14.7,1.0,QUON,Quon's  League ,WR,WR
1.0,16737.0,Mike Evans,4.0,15.6,3.0,27.0,12.3,1.0,QUON,Quon's  League ,WR,WR
10.0,4262921.0,Justin Jefferson,4.0,30.3,3.0,16.0,15.9,1.0,QUON,Quon's  League ,WR,WR
10.0,16737.0,Mike Evans,4.0,7.9,3.0,27.0,11.6,1.0,QUON,Quon's  League ,WR,WR
8.0,4262921.0,Justin Jefferson,4.0,12.8,3.0,16.0,15.1,1.0,QUON,Quon's  League ,WR,WR
8.0,16737.0,Mike Evans,4.0,15.3,3.0,27.0,12.7,1.0,QUON,Quon's  League ,WR,WR
9.0,4262921.0,Justin Jefferson,4.0,22.0,3.0,16.0,14.7,1.0,QUON,Quon's  League ,WR,WR
9.0,16737.0,Mike Evans,4.0,6.5,3.0,27.0,11.3,1.0,QUON,Quon's  League ,WR,WR
4.0,4362628.0,Ja'Marr Chase,4.0,10.1,3.0,4.0,16.5,2.0,RIP,Matthew Berry Dead,WR,WR
4.0,4035687.0,Michael Pittman Jr.,4.0,4.6,3.0,11.0,12.2,2.0,RIP,Matthew Berry Dead,WR,WR
5.0,4362628.0,Ja'Marr Chase,4.0,8.5,3.0,4.0,15.5,2.0,RIP,Matthew Berry Dead,WR,WR
5.0,3045138.0,Mike Williams,4.0,18.4,3.0,24.0,13.5,2.0,RIP,Matthew Berry Dead,WR,WR
7.0,4362628.0,Ja'Marr Chase,4.0,29.0,3.0,4.0,16.3,2.0,RIP,Matthew Berry Dead,WR,WR
7.0,4035687.0,Michael Pittman Jr.,4.0,6.8,3.0,11.0,12.2,2.0,RIP,Matthew Berry Dead,WR,WR
6.0,4362628.0,Ja'Marr Chase,4.0,28.7,3.0,4.0,14.9,2.0,RIP,Matthew Berry Dead,WR,WR
6.0,4241372.0,Marquise Brown,4.0,9.3,3.0,22.0,14.5,2.0,RIP,Matthew Berry Dead,WR,WR
2.0,4362628.0,Ja'Marr Chase,4.0,8.3,3.0,4.0,14.3,2.0,RIP,Matthew Berry Dead,WR,WR
2.0,3045138.0,Mike Williams,4.0,21.3,3.0,24.0,12.3,2.0,RIP,Matthew Berry Dead,WR,WR
3.0,4362628.0,Ja'Marr Chase,4.0,9.7,3.0,4.0,15.5,2.0,RIP,Matthew Berry Dead,WR,WR
3.0,4035687.0,Michael Pittman Jr.,4.0,11.2,3.0,11.0,12.4,2.0,RIP,Matthew Berry Dead,WR,WR
1.0,4362628.0,Ja'Marr Chase,4.0,23.9,3.0,4.0,14.4,2.0,RIP,Matthew Berry Dead,WR,WR
1.0,4035687.0,Michael Pittman Jr.,4.0,22.6,3.0,11.0,12.2,2.0,RIP,Matthew Berry Dead,WR,WR
10.0,4035687.0,Michael Pittman Jr.,4.0,8.8,3.0,11.0,11.1,2.0,RIP,Matthew Berry Dead,WR,WR
10.0,4372485.0,Rondale Moore,4.0,13.9,3.0,22.0,9.1,2.0,RIP,Matthew Berry Dead,WR,WR
8.0,4035687.0,Michael Pittman Jr.,4.0,8.8,3.0,11.0,9.7,2.0,RIP,Matthew Berry Dead,WR,WR
8.0,4372485.0,Rondale Moore,4.0,19.9,3.0,22.0,8.0,2.0,RIP,Matthew Berry Dead,WR,WR
9.0,4035687.0,Michael Pittman Jr.,4.0,3.7,3.0,11.0,10.4,2.0,RIP,Matthew Berry Dead,WR,WR
9.0,4372485.0,Rondale Moore,4.0,10.9,3.0,22.0,9.5,2.0,RIP,Matthew Berry Dead,WR,WR
4.0,3126486.0,Deebo Samuel,4.0,20.7,3.0,25.0,16.3,3.0,TnM,Team Tenner n Mamby ,WR,WR
4.0,4372016.0,Jaylen Waddle,4.0,4.9,3.0,15.0,14.9,3.0,TnM,Team Tenner n Mamby ,WR,WR
5.0,3126486.0,Deebo Samuel,4.0,10.2,3.0,25.0,13.8,3.0,TnM,Team Tenner n Mamby ,WR,WR
5.0,4372016.0,Jaylen Waddle,4.0,3.8,3.0,15.0,12.5,3.0,TnM,Team Tenner n Mamby ,WR,WR
7.0,3126486.0,Deebo Samuel,4.0,6.9,3.0,25.0,13.2,3.0,TnM,Team Tenner n Mamby ,WR,WR
7.0,4372016.0,Jaylen Waddle,4.0,10.8,3.0,15.0,12.5,3.0,TnM,Team Tenner n Mamby ,WR,WR
6.0,3126486.0,Deebo Samuel,4.0,12.5,3.0,25.0,14.1,3.0,TnM,Team Tenner n Mamby ,WR,WR
6.0,4372016.0,Jaylen Waddle,4.0,13.9,3.0,15.0,10.5,3.0,TnM,Team Tenner n Mamby ,WR,WR
2.0,3126486.0,Deebo Samuel,4.0,12.2,3.0,25.0,14.8,3.0,TnM,Team Tenner n Mamby ,WR,WR
2.0,4372016.0,Jaylen Waddle,4.0,34.6,3.0,15.0,10.4,3.0,TnM,Team Tenner n Mamby ,WR,WR
3.0,3126486.0,Deebo Samuel,4.0,10.4,3.0,25.0,15.4,3.0,TnM,Team Tenner n Mamby ,WR,WR
3.0,4372016.0,Jaylen Waddle,4.0,13.1,3.0,15.0,13.4,3.0,TnM,Team Tenner n Mamby ,WR,WR
1.0,3126486.0,Deebo Samuel,4.0,11.6,3.0,25.0,14.6,3.0,TnM,Team Tenner n Mamby ,WR,WR
1.0,4372016.0,Jaylen Waddle,4.0,15.7,3.0,15.0,10.9,3.0,TnM,Team Tenner n Mamby ,WR,WR
10.0,3126486.0,Deebo Samuel,4.0,6.1,3.0,25.0,13.1,3.0,TnM,Team Tenner n Mamby ,WR,WR
10.0,4372016.0,Jaylen Waddle,4.0,8.6,3.0,15.0,13.0,3.0,TnM,Team Tenner n Mamby ,WR,WR
8.0,4372016.0,Jaylen Waddle,4.0,26.6,3.0,15.0,13.1,3.0,TnM,Team Tenner n Mamby ,WR,WR
8.0,2577327.0,Tyler Lockett,4.0,12.8,3.0,26.0,10.2,3.0,TnM,Team Tenner n Mamby ,WR,WR
9.0,4372016.0,Jaylen Waddle,4.0,17.0,3.0,15.0,12.6,3.0,TnM,Team Tenner n Mamby ,WR,WR
9.0,2577327.0,Tyler Lockett,4.0,15.2,3.0,26.0,11.1,3.0,TnM,Team Tenner n Mamby ,WR,WR
4.0,4239993.0,Tee Higgins,4.0,21.9,3.0,4.0,12.0,4.0,Team,Mixon and Nixon ,WR,WR
4.0,3895856.0,Christian Kirk,4.0,7.3,3.0,30.0,12.6,4.0,Team,Mixon and Nixon ,WR,WR
5.0,4239993.0,Tee Higgins,4.0,0.0,3.0,4.0,13.7,4.0,Team,Mixon and Nixon ,WR,WR
5.0,3895856.0,Christian Kirk,4.0,1.6,3.0,30.0,13.2,4.0,Team,Mixon and Nixon ,WR,WR
